question_id,question_level,context,question,possible_answers,correct_answer_num,question_type
A2.1.H01,A2,"žeńska: Dobry źeń. Grońśo pšosym, jo how gmejnski amt? 
druga: Jo, Wy sćo how pšawje. Móžom Wam pomogaś? 
žeńska: Źo źěła kněz Młynk, naš šołta? Cu z nim powědaś. 
druga: Kněz Młynk, cakajśo pšosym. Se myslim, až jo we rumnosći 34. Jo, to jo pšawje, rumnosć 34. To jo tam slězy nalěwo. 
žeńska: Jo wón źinsa how? 
druga: To bóžko njewěm. 
žeńska: Derje, ja glědam. Śpa 34. Źěkujom se, na zasejwiźenje!",W kótarej śpě źěła kněz Młynk?,"1 24 
2 43 
3 34",3,listening_A2_1
A2.1.H1,A2,"Anna: Dobry źeń! Bóžko njepowědam hyšći derje serbski. Jo pśi Was kurs serbšćiny? 
sekretarka: Jo, mamy jaden kurs zachopjeńkarjow w Chóśebuzu. Ale tam su južo pśespytowanja. W nazymje zachopijomy nowy kurs. 
Anna: Derje, ja cu rada serbski wuknuś. 
sekretarka: Cośo wy pónjeźele abo wałtoru pśiś? 
Anna: Pónjeźele njamóžom. Cu rad wałtoru pśiś. W nazymje Wy groniśo, jo to w septemberje abo oktoberje? 
sekretarka: W oktoberje. Dostanjośo list z informaciju.",Ga co Anna na kurs chójźiś?,"1 pónjeźele 
2 wałtoru 
3 stwórtk",2,listening_A2_1
A2.1.H2,A2,"susedka 1: Halo, comy źinsa do kina hyś? 
susedka 2: To jo pópšawem dobra ideja. Móje źiśi su doma, ale mój muž źinsa njejo doma. Wón źěła w Hamburgu. 
susedka 1: Ow se wě, to jo škóda. Co wón tam źěła? 
susedka 2: Pětš jo tam na montažy. Wón jo elektrikaŕ. 
susedka 1: Jo wón sobotu doma? 
susedka 2: Jo, sobotu smy wšykne doma. Comy sobotu do kina hyś? 
susedka 1: Jo, pójźomy na film do nowego chóśebuskego kina „Weltspiegel“. Měj se derje! 
susedka 2: Až do soboty!",Źo źěła muž?,"1 w Chóśebuzu 
2 w Budyšynje 
3 w Hamburgu",3,listening_A2_1
A2.1.H3,A2,"susedka 1: Źinsa jo rědne wjedro, my móžomy wjacor grilowaś. 
susedka 2: Jo, to jo dobra ideja. Chto pśiźo? 
susedka 1: Familija Nowakojc, Šmidtojc a my. Ja mam jěšnicki, žonop a ketchup. 
susedka 2: Prima, co hyšći trjebamy? 
susedka 1: Guski, klěb, piwo, wino a wódu. Pijom rada cerwjene wino. 
susedka 2: Derje, jěźom do kupnice. Nakupujom guski a klěb, 10 flašow piwa, 3 flaše wódy a cerwjene wino. Dosega to? 
susedka 1: Jo, až do wjacora!",Co susedka rada pijo?,"1 cerwjene wino 
2 cerwjeny sekt 
3 běłe wino",1,listening_A2_1
A2.1.H4,A2,"muž: Dobry źeń! Cu se rad na karate pśizjawiś. Jo to móžno? 
žona: Se wě, to jo móžno. Zapišom Was do lisćiny. Kak se Wam groni? 
muž: Mě se groni Bernd Buchan a bydlim w Chóśebuzu. 
žona: A co źěłaśo? 
muž: Som rěznik. A źěłam w Picnju. 
žona: Kak stary sćo a kak jo Wašo telefonowe cysło? 
muž: Som 51 lět stary a mójo telefonowe cysło jo 0355 – 560 731. 
žona: Informěrujomy Was, gaž se nowy kurs zachopijo.",Kak stary jo kněz Buchan?,"1 32 lět 
2 52 lět 
3 51 lět",3,listening_A2_1
A2.1.H5,A2,"žona 1: Halo ... jo to waša źowka tam na grajkanišću? 
žona 2: Jo, to jo naša Klara. A ten gólc tam, jo to waš syn? 
žona 1: Ně, ja mam teke źowku. Naša Helena jo hyšći w šuli. Ja cakam how na Helenu. 
žona 2: Aha, a kak stara jo waša źowka? 
žona 1: Helena jo 7 lět stara. 
žona 2: Pón móžo wóna how wótpołdnja z našeju Klaru grajkaś? 
žona 1: Jo, to źo. Snaź srjodu? 
žona 2: Derje!",Źo jo Helena?,"1 w źiśowni 
2 na grajkanišću 
3 w šuli",3,listening_A2_1
A2.1.H6,A2,"student: Dobry źeń! 
źowćo: Witaj, Markus, kak se źo? 
student: Derje, Franciska, groń pšosym, jo twója mama doma? 
źowćo: Ně, mama jo z nanom w měsće. Stej nakupowat. Nan trjeba nowe crjeje. 
student: Ga pśidu slědk? 
źowćo: Njewěm. Co ty coš, Markus? 
student: Njamam wěcej žeden klěb. Daj mě pšosym 3 skiby. Źo to? 
źowćo: Se wě, how pšosym, maš 3 skiby! 
student: Źěkujom se! Na zas ʼ wiźenje!",Wó co pšosy Markus?,"1 3 skiby 
2 ceły klěb
3 jadnu skibu",1,listening_A2_1
A2.1.H02,A2,Lube gósći! Bóžko koncert źinsa njebuźo. Spiwaŕka Marjana Krawcowa jo chóra. Nowy termin jo pśiducy stwórtk w klubowni Serbskego doma.,Spiwaŕka jo chóra.,"1 pšawje
2 wopak",1,listening_A2_2
A2.1.H7,A2,"Witam Was wutšobnje na našu lětosnu woklapnicu w Hochozy. Ako pśecej comy bilancu śěgnuś wó slědnem lěśe, wó problemach powědaś, terminy póstajiś a gromaźe głažack wupiś. Teke nowe wobydlarje deje se pśedstajiś.",Šołta z Hochoze wita na wejsny swěźeń.,"1 pšawje
2 wopak",2,listening_A2_2
A2.1.H8,A2,"Lube pśisłucharje! Comy znate cyniś, až 1. měrca wócynijo nowa wejsna pśedawarnja w Strjažowje swóje źurja. Tam móžośo wót wałtory do pětka nakupowaś pjakaŕske wóry, sad a zeleninu, mlokowe wóry ako teke měso a jěšnicu.",Pónjeźele móžom w Strjažowje nakupowaś.,"1 pšawje
2 wopak",2,listening_A2_2
