question_id,question_level,context,question,possible_answers,correct_answer_num,question_type
A2.1.H01,A2,"žona: Dobry dźeń. Prajće prošu, je tu gmejnski zarjad? 
druha: Haj, tu sće cyle prawje. Móžu wam pomhać? 
žona: Hdźe dźěła knjez Młynk, naš wjesnjanosta? Chcu z nim rěčeć. 
druha: Knjez Młynk. Čakajće jónu. Myslu sej, zo je w stwě čisło 34. Haj, trjechi, stwa 34. To je tam zady nalěwo. 
žona: Je wón dźensa tu? 
druha: To bohužel njewěm. žona: Derje, ja pohladam. Stwa 34. Dźakuju so. Božemje.",W kotrej stwě dźěła knjez Młynk?,"1 24 
2 43 
3 34",3,listening_A2_1
A2.1.H1,A2,"Hanka: Dobry dźeń. Bohužel njerěču derje serbsce. Je pola was kurs serbšćiny? 
sekretarka: Haj, mamy jedyn kurs za započatkarjow w Pančicach-Kukowje. Tam pak su nětko hižo pruwowanja. A wot nazymy budźe dalši kurs. 
Hanka: Derje, ja chcu rady serbsce wuknyć. 
sekretarka: Chceće wy póndźelu abo wutoru přińć? 
Hanka: Póndźelu ja njemóžu, chcu rady wutoru přińć. Nazymu wy prajiće, je to w septembrje abo oktobrje? 
sekretarka: W oktobrje. Dóstanjeće list z informaciju.",Hdy chce Hanka na serbšćinu chodźić?,"1 póndźelu
2 wutoru
3 štwórtk",2,listening_A2_1
A2.1.H2,A2,"susodka 1: Halo, chcemy dźensa do kina hić? 
susodka 2: To je poprawom dobra ideja. Moje dźěći su doma, ale mój muž dźensa doma njeje. Wón dźěła w Hamburgu. 
susodka 1: Ach wězo, to je škoda. Što wón tam dźěła? 
susodka 2: Pětr je tam na montaži. Wón je elektrikar. 
susodka 1: Je wón sobotu doma? 
susodka 2: Haj, sobotu smy wšitcy doma. Chcemy sobotu do kina hić? 
susodka 1: Haj, pojědźemy sobotu wječor na rjany film do Budyskeho kina. Měj so rjenje! 
susodka 2: Hač do soboty!",Hdźe muž dźěła?,"1 w Chrósćicach 
2 w Budyšinje 
3 w Hamburgu",3,listening_A2_1
A2.1.H3,A2,"susodka 1: Dźensa je rjane wjedro, móžemy wječor grilować. 
susodka 2: Haj, to je dobra ideja. Štó přińdźe? 
susodka 1: Smy tři swójby: Brězanec, Šołćic a my. Ja mam kołbaski, žonop a ketchup. 
susodka 2: Prima, što hišće trjebamy? 
susodka 1: Całty, chlěb, piwo, wino a wodu. Piju rady čerwjene wino. 
susodka 2: Derje, póńdu nakupować. Přinjesu całty a chlěb, 10 bleškow piwa, 3 bleše wody a čerwjene wino. Je to wšo? 
susodka 1: Haj, hač do wječora!",Što susodka rady pije?,"1 čerwjene wino 
2 čerwjeny sekt 
3 běłe wino",1,listening_A2_1
A2.1.H4,A2,"Dobry dźeń. Chcu so rady na karate přizjewić. Je to móžno? 
žona: Haj, to je móžno. Zapisam was do lisćiny. Kak wy rěkaće? 
muž: Rěkam Měrćin Delan a bydlu w Budyšinje. 
žona: A što dźěłaće? 
muž: Sym rěznik a dźěłam w Kamjencu. 
žona: Kak stary sće a kotre je waše telefonowe čisło? 
muž: Sym 51 lět stary, moje čisło je 03591 / 560 731. žona: Informujemy was, hdyž so nowy kurs započnje.",Kak stary je knjez Delan?,"1 32 lět
2 52 lět
3 51 lět",3,listening_A2_1
A2.1.H5,A2,"žona 1: Halo ... je to waša dźowka tam na hrajkanišću? 
žona 2: Haj, to je naša Klara. A tón hólc, je to waš syn? 
žona 1: Ně, ja mam tež dźowku. Naša Helena je hišće w šuli. Ja čakam tu na Helenu. 
žona 2: Aha, a kak stara je waša dźowka? 
žona 1: Helena je 7 lět stara. 
žona 2: Potom móže sej wona tu popołdnju z našej Klaru hrajkać? 
žona 1: Haj to dźe, snano srjedu? 
žona 2: Jara rjenje!",Hdźe je Helena?,"1 w pěstowarni 
2 na hrajkanišću 
3 w šuli",3,listening_A2_1
A2.1.H6,A2,"žona: Chwalen Jězus Chrystus! 
dźěćo: Na wěki amen. Witajće k nam, Kralec ćeta. 
žona: Wjerš pomazy. Franciska, praj prošu, je waša wowka doma? 
dzěćo: Ně, wowka z dźědom nakupuje. Naš dźěd trjeba nowe črije. 
žona: Su woni do Kamjenca jěli? 
dźěćo: Ně, do Kulowa. Kak móžu wam pomhać, Kralec ćeta? 
žona: Nimam žadyn chlěb wjace. Daj mi prošu 3 pomazki. Maš ty? 
dźěćo: Wězo – prošu – 3 pomazki! 
žona: Dźakuju so. Sy jara luba. Božemje!",Što Franciska Kralec ćeće da?,"1 3 pomazki 
2 cyły chlěb 
3 jednu pomazku",1,listening_A2_1
A2.1.H02,A2,Lubi hosćo! Bohužel koncert dźensa njebudźe. Spěwarka Madlena Cyžowa je chora. Nowy termin je přichodny štwórtk w awli Šule Ćišinskeho w Pančicach-Kukowje.,Spěwarka je chora.,"1 prawje
2 wopak",1,listening_A2_2
A2.1.H7,A2,Witam was wutrobnje na našu gmejnsku zhromadźiznu w Chrósćicach. Dźensa chcu wam plany za nowu dróhu předstajić. Asfalt je stary a dyrbi so saněrować. Za to dyrbimy financy planować.,Wjesnjanosta z Chrósćic wita na wjesny swjedźeń.,"1 prawje
2 wopak",2,listening_A2_2
A2.1.H8,A2,"Lubi připosłucharjo! Prěnjeho měrca wočini nowy wobchod w Malešecach. Tam móžeće wot wutory hač do pjatka pjekarske twory, sad a zeleninu, mlokowe twory a tež mjaso a kołbasu kupić.",Póndźelu móžu w Malešecach nakupować.,"1 prawje
2 wopak",2,listening_A2_2
